2023 Rank,Airport,2023 Enplaned Passengers in millions,2022 Rank,2022 Enplaned Passengers,Pct. Change 2022-2023
178,"Monterey, CA: Monterey Regional",0.257,179,0.224,14.6
179,"Melbourne, FL: Melbourne Orlando International",0.247,181,0.218,13.2
180,"Montrose/Delta, CO: Montrose Regional",0.244,177,0.233,4.7
181,"Grand Junction, CO: Grand Junction Regional",0.244,180,0.221,10.1
182,"Christiansted, VI: Henry E. Rohlsen",0.235,184,0.204,15.2
183,"Lafayette, LA: Lafayette Regional Paul Fournet Field",0.228,178,0.224,1.7
184,"Eagle, CO: Eagle County Regional",0.227,182,0.214,5.6
185,"Bristol/Johnson City/Kingsport, TN: Tri Cities",0.220,186,0.191,15.0
186,"Durango, CO: Durango La Plata County",0.217,188,0.183,18.6
187,"Saipan, TT: Francisco C. Ada Saipan International",0.215,216,0.105,105.1
188,"Hayden, CO: Yampa Valley",0.206,185,0.197,4.7
189,"Charleston/Dunbar, WV: West Virginia International Yeager",0.194,191,0.164,18.4
190,"Montgomery, AL: Montgomery Regional",0.179,194,0.151,18.7
191,"Great Falls, MT: Great Falls International",0.177,198,0.141,25.5
192,"Bakersfield, CA: Meadows Field",0.174,199,0.141,23.8
193,"Scranton/Wilkes-Barre, PA: Wilkes Barre Scranton International",0.174,187,0.189,-8.2
194,"Brownsville, TX: Brownsville South Padre Island International",0.172,205,0.127,35.6
195,"Fayetteville, NC: Fayetteville Regional/Grannis Field",0.166,190,0.165,1.2
196,"Evansville, IN: Evansville Regional",0.164,193,0.153,7.7
197,"Bloomington/Normal, IL: Central Il Regional Airport at Bloomington",0.163,189,0.173,-5.8
198,"Columbus, OH: Rickenbacker International",0.148,196,0.147,1.0
199,"Ketchikan, AK: Ketchikan International",0.147,197,0.143,3.3
200,"Belleville, IL: Scott AFB MidAmerica St Louis",0.147,192,0.163,-9.4
