Country,venue_city,routing_fraction,years_observed
Qatar,Philadelphia,0.053588306035833616,3
Qatar,San Francisco,0.06591341219588456,3
Qatar,Seattle,0.0704161355819716,3
Saint Kitts and Nevis,Atlanta,0.07375125921300334,3
Saint Kitts and Nevis,Miami,0.6733824045759268,3
Saint Kitts and Nevis,New York,0.21580692657758985,2
Saint Lucia,Atlanta,0.21648513604589217,3
Saint Lucia,Boston,0.007217597189337814,1
Saint Lucia,Miami,0.2879550720580377,3
Saint Lucia,New York,0.25605604588106023,3
Saint Lucia,Philadelphia,0.03122382851040416,3
Saint Vincent and the Grenadines,Miami,0.7048799157600059,3
Saint Vincent and the Grenadines,New York,0.29512008423999414,3
Saudi Arabia,Los Angeles,0.1736364772583105,2
Saudi Arabia,New York,0.45489131563620366,2
Senegal,New York,0.8542420027816412,3
Serbia,New York,1,3
Singapore,Houston,0.027451515949056832,2
Singapore,Los Angeles,0.2347159851277396,3
Singapore,New York,0.20655232058229933,3
Singapore,San Francisco,0.45543405993140096,3
Singapore,Seattle,0.08374110524448705,3
Sint Maarten,Atlanta,0.1680615548143492,3
Sint Maarten,Boston,0.026533915421365968,3
Sint Maarten,Miami,0.30366482345693363,3
Sint Maarten,New York,0.264378638087308,3
Sint Maarten,Philadelphia,0.015773819154581873,3
South Africa,Atlanta,0.4580433761590218,3
South Africa,New York,0.40500072560823225,3
South Korea,Atlanta,0.08380211788936869,3
South Korea,Boston,0.026679028508402192,3
South Korea,Dallas,0.052648131330818075,3
South Korea,Los Angeles,0.18781950030651143,3
South Korea,New York,0.14881356948956392,3
South Korea,San Francisco,0.13018914505523854,3
South Korea,Seattle,0.08942559526312974,3
Spain,Atlanta,0.06030652348296225,3
Spain,Boston,0.05768297050577999,3
Spain,Dallas,0.0784618423275078,3
Spain,Los Angeles,0.05245051921530077,3
Spain,Miami,0.15135803125543904,3
Spain,New York,0.3080284732008164,3
Spain,Philadelphia,0.045030033897102285,3
Spain,San Francisco,0.043335571837770946,3
Sweden,New York,0.9216878083157153,3
Switzerland,Atlanta,0.03566801404434493,2
Switzerland,Boston,0.09256125504153205,3
Switzerland,Los Angeles,0.0643578103988634,3
Switzerland,Miami,0.06917543929862922,3
Switzerland,New York,0.29341767709946615,3
Switzerland,Philadelphia,0.04271538169091899,3
Switzerland,San Francisco,0.11212816875853782,3
Switzerland,Seattle,0.0112720112152865,1
Taiwan,Houston,0.06042517245299558,3
Taiwan,Los Angeles,0.2779778396695193,3
Taiwan,New York,0.09140440239459466,3
Taiwan,San Francisco,0.3351006172203218,3
Taiwan,Seattle,0.11868221311169737,3
The Bahamas,Atlanta,0.1326752469383066,3
The Bahamas,Boston,0.004696425133994502,3
The Bahamas,Dallas,0.054881179310524233,3
The Bahamas,Houston,0.058438637420967866,3
The Bahamas,Los Angeles,0.011257988680921694,2
The Bahamas,Miami,0.34816226897775054,3
The Bahamas,New York,0.13900288605848085,3
The Bahamas,Philadelphia,0.026597781570148072,3
Trinidad and Tobago,Houston,0.1326416384888913,3
Trinidad and Tobago,Miami,0.42435009278882263,3
Trinidad and Tobago,New York,0.3806309418604799,3
Turkey,Atlanta,0.055677673667817215,3
