Country,venue_city,diaspora_pop,total_foreign_born,diaspora_conc
Ecuador,San Diego,1062,738271,0.0014384961619784604
Peru,San Diego,2840,738271,0.003846825894556335
Uruguay,San Diego,374,738271,5.065890438605878e-4
Venezuela,San Diego,1347,738271,0.001824533267594149
Canada,San Diego,12076,738271,0.016357137148824755
Belgium,Tampa,647,487412,0.0013274191033458347
France,Tampa,2311,487412,0.004741368698349651
Germany,Tampa,8999,487412,0.01846281995519191
Netherlands,Tampa,918,487412,0.001883416903974461
Portugal,Tampa,1519,487412,0.003116459996881488
Spain,Tampa,1357,487412,0.0027840923079448187
Japan,Tampa,1529,487412,0.0031369765208899246
South Korea,Tampa,2819,487412,0.00578360811797822
India,Tampa,26661,487412,0.05469910465889227
Iran,Tampa,1566,487412,0.0032128876597211395
Philippines,Tampa,13194,487412,0.027069501776730977
Cameroon,Tampa,308,487412,6.319089394598409e-4
Morocco,Tampa,2213,487412,0.004540306763066974
South Africa,Tampa,1784,487412,0.003660147883105053
Cape Verde,Tampa,119,487412,2.441466357003931e-4
Ghana,Tampa,392,487412,8.042477411307066e-4
Côte d'Ivoire,Tampa,189,487412,3.8776230375944787e-4
Nigeria,Tampa,1686,487412,0.0034590859478223763
Senegal,Tampa,285,487412,5.847209342404372e-4
Australia,Tampa,1505,487412,0.0030877368632696773
Haiti,Tampa,11149,487412,0.022873872617005738
Costa Rica,Tampa,2197,487412,0.004507480324653476
Guatemala,Tampa,4818,487412,0.009884861267264655
Honduras,Tampa,7557,487412,0.015504337193175384
Mexico,Tampa,39911,487412,0.0818834989700705
Panama,Tampa,2502,487412,0.005133234306910786
Argentina,Tampa,2555,487412,0.005241971884155499
Bolivia,Tampa,779,487412,0.001598237220257195
Brazil,Tampa,9564,487412,0.019622003561668568
Chile,Tampa,1038,487412,0.002129615192075698
Colombia,Tampa,26835,487412,0.055056092176639065
Ecuador,Tampa,4352,487412,0.00892879124847152
Peru,Tampa,7749,487412,0.015898254454137364
Uruguay,Tampa,1217,487412,0.0024968609718267094
Venezuela,Tampa,18172,487412,0.03728262742813061
Canada,Tampa,20404,487412,0.04186191558681362
Belgium,Washington DC,1371,1501525,9.130717104277318e-4
France,Washington DC,7906,1501525,0.005265313597842194
Germany,Washington DC,14228,1501525,0.009475699705299613
Netherlands,Washington DC,2305,1501525,0.001535105975591482
Portugal,Washington DC,2180,1501525,0.0014518572784335926
Spain,Washington DC,5154,1501525,0.003432510281214099
Japan,Washington DC,9447,1501525,0.006291603536404655
South Korea,Washington DC,59528,1501525,0.03964502755531876
India,Washington DC,109200,1501525,0.07272606183713225
Iran,Washington DC,22863,1501525,0.015226519704966617
Philippines,Washington DC,44466,1501525,0.029613892542581708
Cameroon,Washington DC,23845,1501525,0.015880521469838996
Morocco,Washington DC,9186,1501525,0.006117780256738982
South Africa,Washington DC,4202,1501525,0.0027984882036596126
Cape Verde,Washington DC,151,1501525,1.005644261667305e-4
Ghana,Washington DC,26346,1501525,0.017546161402574048
Côte d'Ivoire,Washington DC,3357,1501525,0.00223572701087228
Nigeria,Washington DC,29096,1501525,0.01937763274004762
Senegal,Washington DC,2389,1501525,0.0015910491000815836
Australia,Washington DC,3127,1501525,0.0020825494081017633
Haiti,Washington DC,7634,1501525,0.0050841644328266265
Costa Rica,Washington DC,3638,1501525,0.0024228700820832154
Guatemala,Washington DC,62541,1501525,0.041651654151612524
Honduras,Washington DC,44184,1501525,0.02942608348179351
Mexico,Washington DC,54007,1501525,0.0359680990992491
Panama,Washington DC,4166,1501525,0.0027745125788781405
Argentina,Washington DC,8684,1501525,0.005783453488952898
Bolivia,Washington DC,32097,1501525,0.021376267461414227
Brazil,Washington DC,13744,1501525,0.009153360749904265
Chile,Washington DC,5840,1501525,0.0038893791312165963
Colombia,Washington DC,21955,1501525,0.014621801168811708
Ecuador,Washington DC,9163,1501525,0.00610246249646193
Peru,Washington DC,42009,1501525,0.02797755615124623
Uruguay,Washington DC,1867,1501525,0.0012434025407502373
Venezuela,Washington DC,9680,1501525,0.006446779107906961
Canada,Washington DC,11656,1501525,0.007762774512578878
